time(sec)  velocity(km/h)  position(m)   Power(kW)
 1411        29.89498     65048.44058        -1.99103
 1412        28.85512     65056.60032        -1.92177
 1413        27.81584     65064.47128        -1.85255
 1414        26.77713     65072.05364        -1.78337
 1415        25.73897     65079.34754        -1.71423
 1416        24.70136     65086.35314        -1.64513
 1417        23.66429     65093.07059        -1.57606
 1418        22.62776     65099.50004        -1.50702
 1419        21.59175     65105.64164        -1.43803
 1420        20.55627     65111.49554        -1.36906
 1421        19.52130     65117.06187        -1.30013
 1422        18.48683     65122.34077        -1.23124
 1423        17.45286     65127.33240        -1.16237
 1424        16.41938     65132.03687        -1.09354
 1425        15.38638     65136.45434        -1.02474
 1426        14.35386     65140.58493        -0.95598
 1427        13.32180     65144.42877        -0.88724
 1428        12.29021     65147.98600        -0.81854
 1429        11.25907     65151.25673        -0.74986
 1430        10.22837     65154.24110        -0.68122
 1431         9.19811     65156.93922        -0.61260
 1432         8.16828     65159.35122        -0.54401
 1433         7.13888     65161.47721        -0.47545
 1434         6.10989     65163.31732        -0.40692
 1435         5.08131     65164.87165        -0.33842
 1436         4.05313     65166.14032        -0.26994
 1437         3.02535     65167.12345        -0.20149
 1438         1.99795     65167.82113        -0.13306
 1439         0.97093     65168.23347        -0.06466
 1440        -0.05571     65168.36059         0.00371
 1441         0.00000     65168.36059         0.00000
 1442         0.00000     65168.36059         0.00000
 1443         0.00000     65168.36059         0.00000
 1444         0.00000     65168.36059         0.00000
 1445         0.00000     65168.36059         0.00000
 1446         0.00000     65168.36059         0.00000
 1447         0.00000     65168.36059         0.00000
 1448         0.00000     65168.36059         0.00000
 1449         0.00000     65168.36059         0.00000
 1450         0.00000     65168.36059         0.00000
 1451         0.00000     65168.36059         0.00000
 1452         0.00000     65168.36059         0.00000
 1453         0.00000     65168.36059         0.00000
 1454         0.00000     65168.36059         0.00000
 1455         0.00000     65168.36059         0.00000
 1456         0.00000     65168.36059         0.00000
 1457         0.00000     65168.36059         0.00000
 1458         0.00000     65168.36059         0.00000
 1459         0.00000     65168.36059         0.00000
 1460         0.00000     65168.36059         0.00000
 1461         0.00000     65168.36059         0.00000
